740,27.00,31.00,31.50,28.50
745,27.00,31.00,31.25,28.50
750,27.00,31.00,31.50,28.50
755,27.00,31.00,31.50,28.50
760,27.00,31.00,31.25,28.50
765,27.00,31.00,31.50,28.50
770,27.00,31.00,31.50,28.50
775,27.00,31.00,31.50,28.50
780,27.00,31.00,31.25,28.25
785,27.00,31.00,31.25,28.50
790,26.75,31.00,31.25,28.50
795,27.00,30.75,31.00,28.00
800,27.00,30.25,30.25,28.00
805,26.75,30.25,30.50,28.00
810,26.75,30.25,30.25,28.00
815,26.75,30.25,30.25,28.00
820,26.75,30.50,30.50,28.00
825,26.75,30.75,30.75,28.25
830,26.75,30.75,31.00,28.25
835,26.75,30.75,31.00,28.25
840,27.00,30.50,30.50,28.00
845,26.75,30.75,30.75,28.25
850,26.75,30.75,31.00,28.25
855,26.75,31.00,31.00,28.25
860,26.75,30.75,31.25,28.25
865,26.75,31.00,31.25,28.25
870,26.75,31.00,31.25,28.25
875,26.75,31.00,31.25,28.25
880,26.75,30.00,30.25,27.75
885,27.00,29.50,29.50,27.75
890,26.75,29.00,29.00,27.50
895,26.75,29.50,29.50,27.75
900,26.75,29.75,29.75,28.00
905,26.75,30.25,30.50,28.00
910,26.75,30.50,30.75,28.00
915,26.75,30.75,31.00,28.25
920,26.75,30.50,31.00,28.00
925,26.75,29.75,30.00,27.75
930,26.75,29.25,29.50,27.75
935,26.75,28.75,28.75,27.25
940,26.75,28.50,28.25,27.25
945,26.75,28.25,28.00,27.00
950,26.75,28.25,27.75,27.00
955,26.50,28.00,27.50,27.00
960,26.75,28.00,27.50,26.75
965,26.50,27.75,27.25,26.75
970,26.50,27.75,27.25,26.75
975,26.50,27.50,27.25,26.75
980,26.50,27.50,27.25,26.50
985,26.25,27.50,27.25,26.50
990,26.50,27.50,27.25,26.50
995,26.50,27.50,27.25,26.50
1000,26.50,27.50,27.00,26.50
1005,26.50,27.50,27.00,26.50
1010,26.25,27.50,27.00,26.50
1015,26.25,27.25,27.00,26.50
1020,26.25,27.25,27.00,26.50
1025,26.25,27.25,27.00,26.25
1030,26.25,27.25,27.00,26.50
1035,26.25,27.25,27.00,26.50
1040,26.25,27.25,27.00,26.50
1045,26.25,27.25,27.00,26.50
1050,26.25,27.25,26.75,26.50
1055,26.25,27.25,26.75,26.50
1060,26.25,27.25,26.75,26.50
1065,26.25,27.25,26.75,26.50
1070,26.25,27.25,26.75,26.25
1075,26.25,27.25,26.75,26.25
1080,26.25,27.25,26.75,26.25
1085,26.00,27.25,26.75,26.25
1090,26.00,27.25,26.75,26.25
1095,26.25,27.00,26.75,26.25
1100,26.25,27.25,26.75,26.25
1105,26.00,27.25,26.75,26.25
1110,26.25,27.25,26.75,26.25
1115,26.00,27.25,26.75,26.25
1120,26.00,27.00,26.75,26.25
1125,26.25,27.00,26.75,26.25
1130,26.00,27.00,26.75,26.25
1135,26.00,27.75,27.50,26.50
1140,26.25,27.50,27.25,26.50
1145,26.25,27.75,27.50,26.50
1150,26.25,27.75,27.50,26.50
1155,26.25,28.25,28.25,26.75
1160,26.25,28.75,29.00,27.25
1165,26.25,29.25,29.75,27.25
1170,26.25,29.50,30.25,27.50
1175,26.50,29.75,30.50,27.75
1180,26.50,30.00,30.75,27.75
1185,26.50,30.25,30.75,27.75
1190,26.50,30.25,31.00,27.75
1195,26.50,30.25,31.00,27.75
1200,26.50,30.50,31.25,27.75
1205,26.75,30.50,31.25,28.00
1210,26.75,30.75,31.25,28.00
1215,26.75,30.75,31.25,27.75
1220,26.75,30.75,31.25,28.00
1225,26.75,30.75,31.25,28.00
1230,26.75,30.75,31.25,28.00
1235,26.75,30.75,31.25,28.00
1240,26.75,30.75,31.25,28.00
1245,26.75,30.75,31.25,27.75
1250,26.75,30.75,31.25,28.00
1255,26.75,30.75,31.25,28.00
1260,26.75,30.75,31.25,28.00
1265,26.75,30.75,31.25,28.00
1270,26.75,30.75,31.25,28.00
1275,26.75,30.75,31.25,27.75
1280,26.75,31.00,31.25,28.00
1285,26.75,31.00,31.50,28.00
1290,26.75,31.00,31.50,28.00
1295,26.75,31.00,31.50,28.00
1300,26.75,31.00,31.50,28.00
1305,26.75,31.00,31.50,28.25
1310,27.00,31.00,31.25,28.25
1315,26.75,31.00,31.50,28.25
1320,26.75,31.00,31.50,28.25
1325,26.75,31.00,31.50,28.25
1330,26.75,31.00,31.50,28.25
1335,26.75,31.00,31.50,28.25
1340,27.00,31.25,31.50,28.25
1345,27.00,31.00,31.75,28.50
1350,27.00,31.00,31.50,28.25
1355,27.00,31.00,31.50,28.25
1360,27.00,31.00,31.50,28.25
1365,27.00,31.00,31.50,28.25
1370,27.00,31.00,31.50,28.25
1375,27.00,31.00,31.50,28.25
1380,27.00,31.00,31.50,28.25
1385,27.00,31.00,31.50,28.25
1390,27.00,31.00,31.50,28.25
1395,27.00,31.00,31.50,28.25
1400,27.00,31.25,31.50,28.25
1405,27.00,31.25,31.75,28.25
1410,27.00,31.25,31.50,28.25
1415,27.00,31.00,31.50,28.25
1420,27.00,31.25,31.50,28.25
1425,27.00,31.00,31.50,28.50
1430,27.00,31.25,31.75,28.50
1435,27.00,31.25,31.50,28.50
1440,27.25,31.00,31.50,28.50
1445,27.00,31.00,31.75,28.50
1450,27.00,31.25,31.75,28.50
1455,27.00,31.25,31.75,28.50
1460,27.00,31.00,31.75,28.50
1465,27.00,31.25,31.75,28.50
1470,27.00,31.25,31.75,28.50
1475,27.00,31.25,31.75,28.50
1480,27.25,31.25,31.75,28.50
1485,27.00,31.25,31.50,28.50
1490,27.00,31.25,31.75,28.50
1495,27.00,31.25,31.75,28.50
1500,27.00,31.25,31.75,28.25
1505,27.00,31.25,31.75,28.25
1510,27.00,31.25,31.75,28.50
1515,27.00,31.25,31.75,28.50
1520,27.25,31.25,31.75,28.25
1525,27.25,31.25,31.75,28.25
1530,27.00,31.25,31.75,28.50
1535,27.00,31.25,31.75,28.50
1540,27.00,31.25,31.75,28.50
